ELECTRIC SYSTEM NII,THERMAL UNITS INSTALLED CAPACITY 2023,MAX ANNUAL PEAK DEMAND 2023,RES UNITS ENERGY GENERATION (MWh),THERMAL UNITS ENERGY GENERATION (MWh),ATC_NII (€/MWh),AVC_NII (€/MWh),SHARE OF ELECTRICITY PRODUCTION FROM RES (%)
RODOS,314.682,238.8,16961.9,95544.97,270.26,197.71,15.08
LESVOS,102.595,63.0,4756.71,20483.68,248.05,195.63,18.85
KOS-KALIMNOS,197.238,108.4,5243.64,46949.89,294.2,236.96,10.05
LIMNOS,31.253,14.8,1072.35,4284.26,297.13,223.71,20.02
MILOS,26.775,14.49,668.35,5674.25,315.42,291.62,10.54
CHIOS,77.782,45.7,3251.11,13477.7,263.25,190.89,19.43
SAMOS,49.63,29.6,3008.83,10187.95,242.87,190.6,22.8
KARPATHOS,25.354,13.43,664.75,4421.59,345.01,215.73,13.07
AGIOS EFSTRATIOS,0.84,0.323,0.0,89.86,624.99,364.98,0.0
AGATHONISI,0.639,0.22,0.0,67.73,1104.37,451.84,0.0
AMORGOS,6.2,3.59,56.22,1200.97,440.13,307.3,4.47
ANAFI,1.392,0.628,0.0,174.94,388.79,334.6,0.0
ANTIKITHIRA,0.413,0.124,0.0,31.8,1089.77,434.56,0.0
ARKOI,0.405,0.167,0.0,48.8,927.83,414.73,0.0
ASTYPALAIA,5.1,2.53,63.19,724.78,444.46,298.88,8.02
GAVDOS,0.83,0.187,0.0,60.9,905.77,442.43,0.0
DONOUSA,0.99,0.47,0.0,138.75,1106.88,358.76,0.0
EREIKOUSA,1.165,0.426,0.0,90.19,896.71,398.23,0.0
THIRA,80.187,67.6,164.36,33826.08,356.1,327.03,0.48
IKARIA,21.272,7.121,554.91,1810.37,833.4,413.4,23.46
KYTHNOS,8.445,4.02,44.52,1201.77,442.94,322.02,3.57
MEGISTI,2.62,1.295,0.0,567.54,479.95,373.18,0.0
OTHONON,0.662,0.266,0.0,60.64,977.77,339.76,0.0
PATMOS,8.925,5.54,340.18,1702.07,499.01,362.69,16.66
SERIFOS,8.155,3.68,22.66,1051.06,451.98,319.72,2.11
SIFNOS,14.0,7.2,320.88,2205.76,583.68,369.51,12.7
SKYROS,8.9,4.7,54.16,1370.32,557.42,381.79,3.8
SIMI,8.775,3.95,28.61,1625.73,591.69,369.1,1.73
