ΗΛΕΚΤΡΙΚΟ ΣΥΣΤΗΜΑ ΜΔΝ,ΕΓΚΑΤ. ΙΣΧΥΣ ΘΕΡΜΙΚΩΝ ΜΟΝΑΔΩΝ 2022 (ΜW),ΜΕΓΙΣΤΗ ΕΤΗΣΙΑ ΑΙΧΜΗ ΖΗΤΗΣΗΣ 2022 (ΜW),ΕΝΕΡΓΕΙΑ ΜΟΝΑΔΩΝ ΑΠΕ (MWh),ΕΝΕΡΓΕΙΑ ΘΕΡΜΙΚΩΝ ΜΟΝΑΔΩΝ (MWh),ΜΠΚΠ_ΜΔΝ (€/MWh),ΜMΚ_ΜΔΝ (€/MWh),ΠΟΣΟΣΤΟ ΣΥΜΜΕΤΟΧΗΣ AΠΕ ΣΤΗΝ ΗΛΕΚΤΡΟΠΑΡΑΓΩΓΗ (%)
ΡΟΔΟΣ,326.96,218.0,11551.43,93077.13,268.76,209.62,11.04
ΛΕΣΒΟΣ,102.6,63.25,4747.88,16816.62,233.3,194.56,22.02
ΚΩΣ-ΚΑΛΥΜΝΟΣ,213.69,97.5,4826.6,43917.29,307.91,252.45,9.9
ΛΗΜΝΟΣ,26.15,14.1,1220.75,3636.54,299.48,224.64,25.13
ΜΗΛΟΣ,25.5,13.59,823.6,4475.96,257.25,195.12,15.54
ΧΙΟΣ,77.78,44.9,2864.95,11657.2,318.52,194.33,19.73
ΣΑΜΟΣ,49.63,28.6,2878.67,9266.9,281.02,195.38,23.7
ΚΑΡΠΑΘΟΣ,19.05,10.94,615.95,4207.4,261.78,203.14,12.77
ΑΓΙΟΣ ΕΥΣΤΡΑΤΙΟΣ,0.84,0.3,0.0,80.11,527.21,345.08,0.0
ΑΓΑΘΟΝΗΣΙ,0.64,0.23,0.0,72.42,1183.69,418.82,0.0
ΑΜΟΡΓΟΣ,6.2,3.23,47.48,1255.34,412.5,298.62,3.64
ΑΝΑΦΗ,1.15,0.63,0.0,163.88,379.43,335.61,0.0
ΑΝΤΙΚΥΘΗΡΑ,0.41,0.12,0.0,29.71,850.1,449.83,0.0
ΑΡΚΙΟΙ,0.41,0.16,0.0,54.34,839.58,439.95,0.0
ΑΣΤΥΠΑΛΑΙΑ,5.1,2.36,53.52,696.91,450.53,333.27,7.13
ΓΑΥΔΟΣ,0.83,0.19,0.0,58.54,956.45,458.47,0.0
ΔΟΝΟΥΣΑ,0.99,0.52,0.0,139.68,589.4,369.87,0.0
ΕΡΕΙΚΟΥΣΑ,1.17,0.49,0.0,84.98,977.91,330.91,0.0
ΘΗΡΑ,80.19,58.5,114.2,31663.08,362.38,332.34,0.36
ΙΚΑΡΙΑ,20.02,6.74,569.09,1779.19,697.4,393.42,24.23
ΚΥΘΝΟΣ,7.2,4.05,35.71,1023.85,466.0,345.72,3.37
ΜΕΓΙΣΤΗ,2.22,1.31,0.0,518.21,428.8,319.79,0.0
ΟΘΩΝΟΙ,0.66,0.25,0.0,53.68,1020.81,436.07,0.0
ΠΑΤΜΟΣ,8.93,5.18,334.07,1560.34,456.32,372.27,17.63
ΣΕΡΙΦΟΣ,9.22,3.58,20.21,908.8,449.96,312.9,2.18
ΣΙΦΝΟΣ,12.73,6.64,222.76,1871.59,643.52,390.43,10.64
ΣΚΥΡΟΣ,8.9,4.18,45.04,1188.78,542.13,389.3,3.65
ΣΥΜΗ,9.88,3.93,23.56,1623.93,491.98,360.56,1.43
