ΗΛΕΚΤΡΙΚΟ ΣΥΣΤΗΜΑ ΜΔΝ,ΕΓΚΑΤ. ΙΣΧΥΣ ΘΕΡΜΙΚΩΝ ΜΟΝΑΔΩΝ 2022 (ΜW),ΜΕΓΙΣΤΗ ΕΤΗΣΙΑ ΑΙΧΜΗ ΖΗΤΗΣΗΣ 2022 (ΜW),ΕΝΕΡΓΕΙΑ ΜΟΝΑΔΩΝ ΑΠΕ (MWh),ΕΝΕΡΓΕΙΑ ΘΕΡΜΙΚΩΝ ΜΟΝΑΔΩΝ (MWh),ΜΠΚΠ_ΜΔΝ (€/MWh),ΜMΚ_ΜΔΝ (€/MWh),ΠΟΣΟΣΤΟ ΣΥΜΜΕΤΟΧΗΣ AΠΕ ΣΤΗΝ ΗΛΕΚΤΡΟΠΑΡΑΓΩΓΗ (%)
ΡΟΔΟΣ,326.96,218.0,14015.45,73989.81,284.22,205.62,15.93
ΛΕΣΒΟΣ,102.6,63.25,3275.17,17569.58,225.37,187.6,15.71
ΚΩΣ-ΚΑΛΥΜΝΟΣ,213.69,97.5,4662.02,37152.5,291.87,207.52,11.15
ΛΗΜΝΟΣ,26.15,14.1,850.75,3763.96,292.31,225.3,18.44
ΜΗΛΟΣ,25.5,13.59,489.56,4807.36,226.33,198.8,9.24
ΧΙΟΣ,77.78,44.9,2174.15,11280.68,268.07,197.42,16.16
ΣΑΜΟΣ,49.63,28.6,2489.5,8104.64,281.86,212.25,23.5
ΚΑΡΠΑΘΟΣ,19.05,10.94,661.1,3407.85,304.85,226.89,16.25
ΑΓΙΟΣ ΕΥΣΤΡΑΤΙΟΣ,0.84,0.3,0.0,78.27,561.58,351.5,0.0
ΑΓΑΘΟΝΗΣΙ,0.64,0.23,0.0,62.01,880.54,423.81,0.0
ΑΜΟΡΓΟΣ,6.2,3.23,49.16,1017.13,504.75,321.53,4.61
ΑΝΑΦΗ,1.15,0.63,0.0,136.92,401.33,338.83,0.0
ΑΝΤΙΚΥΘΗΡΑ,0.41,0.12,0.0,23.62,1037.73,423.54,0.0
ΑΡΚΙΟΙ,0.41,0.16,0.0,45.32,946.26,443.33,0.0
ΑΣΤΥΠΑΛΑΙΑ,5.1,2.36,59.84,584.1,497.62,348.1,9.29
ΓΑΥΔΟΣ,0.83,0.19,0.0,49.04,869.3,516.89,0.0
ΔΟΝΟΥΣΑ,0.99,0.52,0.0,116.61,1090.8,399.21,0.0
ΕΡΕΙΚΟΥΣΑ,1.17,0.49,0.0,91.53,848.26,472.61,0.0
ΘΗΡΑ,80.19,58.5,123.52,28386.84,368.77,333.15,0.43
ΙΚΑΡΙΑ,20.02,6.74,413.23,1569.79,724.76,413.9,20.84
ΚΥΘΝΟΣ,7.2,4.05,39.92,1003.25,439.0,339.33,3.83
ΜΕΓΙΣΤΗ,2.22,1.31,0.0,428.87,456.78,353.91,0.0
ΟΘΩΝΟΙ,0.66,0.25,0.0,60.03,740.45,288.44,0.0
ΠΑΤΜΟΣ,8.93,5.18,269.45,1399.53,537.74,400.79,16.14
ΣΕΡΙΦΟΣ,9.22,3.58,24.11,885.47,452.77,335.28,2.65
ΣΙΦΝΟΣ,12.73,6.64,149.96,1893.73,602.83,401.39,7.34
ΣΚΥΡΟΣ,8.9,4.18,59.36,1165.85,555.68,379.26,4.84
ΣΥΜΗ,9.88,3.93,26.74,1208.19,748.25,404.39,2.17
