ΗΛΕΚΤΡΙΚΟ ΣΥΣΤΗΜΑ ΜΔΝ,ΕΓΚΑΤ. ΙΣΧΥΣ ΘΕΡΜΙΚΩΝ ΜΟΝΑΔΩΝ 2023 (ΜW),ΜΕΓΙΣΤΗ ΕΤΗΣΙΑ ΑΙΧΜΗ ΖΗΤΗΣΗΣ 2023 (ΜW),ΕΝΕΡΓΕΙΑ ΜΟΝΑΔΩΝ ΑΠΕ (MWh),ΕΝΕΡΓΕΙΑ ΘΕΡΜΙΚΩΝ ΜΟΝΑΔΩΝ (MWh),ΜΠΚΠ_ΜΔΝ (€/MWh),ΜMΚ_ΜΔΝ (€/MWh),ΠΟΣΟΣΤΟ ΣΥΜΜΕΤΟΧΗΣ AΠΕ ΣΤΗΝ ΗΛΕΚΤΡΟΠΑΡΑΓΩΓΗ (%)
ΡΟΔΟΣ,314.682,238.8,9846.6,31899.21,411.34,220.57,23.59
ΛΕΣΒΟΣ,102.595,63.0,4713.74,17483.89,246.93,194.09,21.24
ΚΩΣ-ΚΑΛΥΜΝΟΣ,197.238,108.4,4389.18,15735.58,319.87,186.96,21.81
ΛΗΜΝΟΣ,31.253,14.8,900.97,3418.58,338.34,229.92,20.86
ΜΗΛΟΣ,26.775,14.49,757.16,2865.58,241.79,201.77,20.9
ΧΙΟΣ,77.782,45.7,3223.23,12143.79,237.69,183.59,20.97
ΣΑΜΟΣ,49.63,29.6,2223.8,7307.15,279.38,196.1,23.33
ΚΑΡΠΑΘΟΣ,25.354,13.43,514.37,1906.12,324.16,223.08,21.25
ΑΓΙΟΣ ΕΥΣΤΡΑΤΙΟΣ,0.84,0.323,0.0,79.96,643.84,351.34,0.0
ΑΓΑΘΟΝΗΣΙ,0.639,0.22,0.0,50.73,1161.82,502.01,0.0
ΑΜΟΡΓΟΣ,6.2,3.59,66.6,684.49,479.7,305.01,8.87
ΑΝΑΦΗ,1.392,0.628,0.0,77.82,468.8,364.17,0.0
ΑΝΤΙΚΥΘΗΡΑ,0.413,0.124,0.0,23.3,1187.49,459.61,0.0
ΑΡΚΙΟΙ,0.405,0.167,0.0,23.02,1625.48,497.23,0.0
ΑΣΤΥΠΑΛΑΙΑ,5.1,2.53,43.34,346.25,566.86,306.05,11.13
ΓΑΥΔΟΣ,0.83,0.187,0.0,35.16,1177.56,486.78,0.0
ΔΟΝΟΥΣΑ,0.99,0.47,0.57,46.48,1251.84,493.41,1.2
ΕΡΕΙΚΟΥΣΑ,1.165,0.426,0.0,46.09,1095.43,565.62,0.0
ΘΗΡΑ,80.187,67.6,84.02,11178.92,284.62,227.55,0.75
ΙΚΑΡΙΑ,21.272,7.121,1215.89,773.83,1268.81,537.34,61.11
ΚΥΘΝΟΣ,8.445,4.02,23.7,617.09,541.19,350.57,3.7
ΜΕΓΙΣΤΗ,2.62,1.295,0.0,289.21,478.32,312.67,0.0
ΟΘΩΝΟΙ,0.662,0.266,0.0,43.54,1259.7,504.91,0.0
ΠΑΤΜΟΣ,8.925,5.54,220.68,1034.45,533.94,362.72,17.58
ΣΕΡΙΦΟΣ,8.155,3.68,8.17,513.93,555.83,335.78,1.57
ΣΙΦΝΟΣ,14.0,7.2,226.76,885.16,789.67,408.31,20.39
ΣΚΥΡΟΣ,8.9,4.7,29.6,967.68,661.42,378.1,2.97
ΣΥΜΗ,8.775,3.95,16.29,805.32,581.9,381.93,1.98
