ΗΛΕΚΤΡΙΚΟ ΣΥΣΤΗΜΑ ΜΔΝ,ΕΓΚΑΤ. ΙΣΧΥΣ ΘΕΡΜΙΚΩΝ ΜΟΝΑΔΩΝ 2021 (ΜW),ΜΕΓΙΣΤΗ ΕΤΗΣΙΑ ΑΙΧΜΗ ΖΗΤΗΣΗΣ 2021 (ΜW),ΕΝΕΡΓΕΙΑ ΜΟΝΑΔΩΝ ΑΠΕ (MWh),ΕΝΕΡΓΕΙΑ ΘΕΡΜΙΚΩΝ ΜΟΝΑΔΩΝ (MWh),ΜΠΚΠ_ΜΔΝ (€/MWh),ΜMΚ_ΜΔΝ (€/MWh),ΠΟΣΟΣΤΟ ΣΥΜΜΕΤΟΧΗΣ AΠΕ ΣΤΗΝ ΗΛΕΚΤΡΟΠΑΡΑΓΩΓΗ (%)
ΡΟΔΟΣ,326.96,237.47,8907.7,39069.2,284.94,196.15,18.57
ΛΕΣΒΟΣ,102.6,68.36,3628.15,15493.28,281.17,198.23,18.97
ΚΩΣ-ΚΑΛΥΜΝΟΣ,143.74,106.08,3841.34,17995.77,226.49,187.68,17.59
ΛΗΜΝΟΣ,26.15,16.3,775.84,3355.0,313.08,210.16,18.78
ΜΗΛΟΣ,21.7,14.52,436.03,3038.45,227.82,173.15,12.55
ΧΙΟΣ,77.78,51.9,2348.84,10926.67,247.51,190.06,17.69
ΣΑΜΟΣ,49.63,33.1,1678.66,6578.89,291.46,198.62,20.33
ΚΑΡΠΑΘΟΣ,19.05,12.45,410.57,1830.06,437.25,228.73,18.32
ΑΓΙΟΣ ΕΥΣΤΡΑΤΙΟΣ,0.84,0.35,0.0,73.83,597.7,357.85,0.0
ΑΓΑΘΟΝΗΣΙ,0.64,0.24,0.0,56.65,1118.52,354.15,0.0
ΑΜΟΡΓΟΣ,6.2,3.5,32.9,736.62,547.44,331.7,4.27
ΑΝΑΦΗ,1.15,0.64,0.0,77.48,548.25,402.49,0.0
ΑΝΤΙΚΥΘΗΡΑ,0.41,0.1,0.0,24.55,1100.97,416.45,0.0
ΑΡΚΙΟΙ,0.41,0.16,0.0,30.71,1041.75,370.7,0.0
ΑΣΤΥΠΑΛΑΙΑ,5.1,2.59,52.81,372.23,543.51,343.5,12.43
ΓΑΥΔΟΣ,0.43,0.18,0.0,39.89,1077.55,346.67,0.0
ΔΟΝΟΥΣΑ,0.99,0.46,0.0,54.24,1330.41,365.81,0.0
ΕΡΕΙΚΟΥΣΑ,0.77,0.53,0.0,55.68,916.97,351.33,0.0
ΘΗΡΑ,80.19,58.35,92.2,18067.76,261.91,213.2,0.51
ΙΚΑΡΙΑ,20.02,9.6,622.58,1260.27,708.5,369.07,33.07
ΚΥΘΝΟΣ,7.2,4.34,36.89,765.4,522.14,298.47,4.6
ΜΕΓΙΣΤΗ,2.22,1.19,0.0,228.98,509.78,297.62,0.0
ΟΘΩΝΟΙ,0.66,0.29,0.0,48.29,1189.67,368.67,0.0
ΠΑΤΜΟΣ,8.93,6.14,145.1,1138.33,569.97,420.43,11.31
ΣΕΡΙΦΟΣ,7.97,4.14,17.43,605.59,486.71,342.85,2.8
ΣΙΦΝΟΣ,11.48,7.5,195.67,1125.28,695.45,332.09,14.81
ΣΚΥΡΟΣ,7.65,4.86,49.07,1043.16,527.57,324.76,4.49
ΣΥΜΗ,9.88,4.06,27.25,785.63,571.38,417.54,3.35
