ΗΛΕΚΤΡΙΚΟ ΣΥΣΤΗΜΑ ΜΔΝ,ΕΓΚΑΤ. ΙΣΧΥΣ ΘΕΡΜΙΚΩΝ ΜΟΝΑΔΩΝ 2021 (ΜW),ΜΕΓΙΣΤΗ ΕΤΗΣΙΑ ΑΙΧΜΗ ΖΗΤΗΣΗΣ 2021 (ΜW),ΕΝΕΡΓΕΙΑ ΜΟΝΑΔΩΝ ΑΠΕ (MWh),ΕΝΕΡΓΕΙΑ ΘΕΡΜΙΚΩΝ ΜΟΝΑΔΩΝ (MWh),ΜΠΚΠ_ΜΔΝ (€/MWh),ΜMΚ_ΜΔΝ (€/MWh),ΠΟΣΟΣΤΟ ΣΥΜΜΕΤΟΧΗΣ AΠΕ ΣΤΗΝ ΗΛΕΚΤΡΟΠΑΡΑΓΩΓΗ (%)
ΡΟΔΟΣ,326.96,237.47,12693.65,58973.41,262.62,204.38,17.71
ΛΕΣΒΟΣ,102.6,68.36,3359.66,16291.73,224.52,201.98,17.1
ΚΩΣ-ΚΑΛΥΜΝΟΣ,143.74,106.08,4410.6,30284.09,291.94,186.89,12.71
ΛΗΜΝΟΣ,26.15,16.3,747.19,3385.64,324.5,238.54,18.08
ΜΗΛΟΣ,21.7,14.52,420.97,3957.01,227.15,184.27,9.62
ΧΙΟΣ,77.78,51.9,2199.8,10609.57,245.22,212.26,17.17
ΣΑΜΟΣ,49.63,33.1,1890.21,7410.46,258.4,208.77,20.32
ΚΑΡΠΑΘΟΣ,19.05,12.45,552.88,2399.12,379.51,229.04,18.73
ΑΓΙΟΣ ΕΥΣΤΡΑΤΙΟΣ,0.84,0.35,0.0,74.37,531.54,358.38,0.0
ΑΓΑΘΟΝΗΣΙ,0.64,0.24,0.0,63.01,835.35,374.81,0.0
ΑΜΟΡΓΟΣ,6.2,3.5,76.39,824.48,560.62,362.56,8.48
ΑΝΑΦΗ,1.15,0.64,0.0,87.33,471.77,359.78,0.0
ΑΝΤΙΚΥΘΗΡΑ,0.41,0.1,0.0,25.86,851.69,401.13,0.0
ΑΡΚΙΟΙ,0.41,0.16,0.0,36.74,4626.05,435.08,0.0
ΑΣΤΥΠΑΛΑΙΑ,5.1,2.59,49.81,415.91,714.0,354.37,10.69
ΓΑΥΔΟΣ,0.43,0.18,0.0,42.63,702.54,358.42,0.0
ΔΟΝΟΥΣΑ,0.99,0.46,0.0,66.81,1070.61,353.45,0.0
ΕΡΕΙΚΟΥΣΑ,0.77,0.53,0.0,59.12,755.61,437.57,0.0
ΘΗΡΑ,80.19,58.35,120.32,23891.99,336.57,286.48,0.5
ΙΚΑΡΙΑ,20.02,9.6,400.44,1456.98,633.91,408.97,21.56
ΚΥΘΝΟΣ,7.2,4.34,41.44,766.41,459.14,300.06,5.13
ΜΕΓΙΣΤΗ,2.22,1.19,0.0,266.6,416.55,316.15,0.0
ΟΘΩΝΟΙ,0.66,0.29,0.0,45.53,1144.2,619.23,0.0
ΠΑΤΜΟΣ,8.93,6.14,132.25,1194.25,638.58,436.59,9.97
ΣΕΡΙΦΟΣ,7.97,4.14,21.83,623.07,448.52,329.87,3.38
ΣΙΦΝΟΣ,11.48,7.5,190.97,1313.58,652.31,356.46,12.69
ΣΚΥΡΟΣ,7.65,4.86,52.37,989.81,546.05,354.29,5.03
ΣΥΜΗ,9.88,4.06,26.8,956.6,407.75,313.04,2.72
